time,open,high,low,close,EMA,EMA,ATR,成交量,均量,■ 正常,■ 没劲了(动力耗尽),■ 蓄力(量大不动),■ 假突破(冲高被打),■ 假跌破(探底弹回),■ 拉锯(多空对打),RSI,Regular Bullish,Regular Bullish Label,Hidden Bullish,Hidden Bullish Label,Regular Bearish,Regular Bearish Label,Hidden Bearish,Hidden Bearish Label
1774261800,4269.09,4269.435,4241.165,4257.335,4266.6652703353975,4333.884244323047,42.24976127229796,18628,27240.65565455223,0,0,0,0,0,0,46.82330109812503,,,,,,,,
1774262700,4257.33,4281.985,4249.835,4269.11,4266.887518486725,4331.344077879005,41.52834975284808,22821,26819.736068404396,0,0,0,0,0,0,48.58571876936699,,,,,,,,
1774263600,4269.145,4463.725,4269.145,4457.17,4284.185925897023,4336.278427766103,52.46311048478755,44545,28507.856442842072,0,0,0,0,0,0,67.25294836049538,,,,,67.25294836049538,,67.25294836049538,
1774264500,4457.2,4461.895,4355.32,4398.94,4294.618114451839,4338.735744324295,56.32824545015992,40944,29692.2510673333,0,0,0,0,0,0,59.9900440438108,,,,,,,,
1774265400,4398.98,4432.28,4383.715,4412.275,4305.314194956217,4341.619636703735,55.773727918005605,32023,29914.2271561587,0,0,0,0,0,0,61.02800855760857,,,,,,,,
1774266300,4412.295,4417.775,4361.875,4379.43,4312.051995414743,4343.102396048686,55.78274735243375,37419,30628.967427000727,0,0,0,0,0,0,57.0988231756595,,,,,,,,
1774267200,4379.465,4380.805,4336.29,4353.015,4315.775904922493,4343.491125615405,54.977908255831366,42437,31753.54195776256,0,0,0,0,0,0,54.083037799439424,,,,,,,,
1774268100,4353.055,4405.03,4352.28,4390.055,4322.52854992954,4345.3171599049965,54.81877195184341,41433,32675.395104642317,0,0,0,0,0,0,57.47479485629499,,,,,,,,
1774269000,4390.135,4441.96,4373.775,4441.405,4333.335499935945,4349.085310496957,55.773502526711766,44941,33843.54795181924,0,0,0,0,0,0,61.69874468085416,,,,,,,,
1774269900,4441.41,4492.925,4433.34,4478.505,4346.532727214496,4354.160592438253,56.045752346232355,43906,34801.87671831264,0,0,0,0,0,0,64.44646935237759,,,,,64.44646935237759,64.44646935237759,64.44646935237759,
1774270800,4478.51,4486.075,4431.57,4446.76,4355.644297467724,4357.7919417544,55.93569860721577,53450,36577.888459425725,0,0,0,0,0,0,60.45029235312394,,,,,,,,
1774271700,4446.745,4453.225,4405.2,4409.955,4360.5816340615675,4359.837551881678,55.3706487067004,37810,36695.23241567089,0,0,0,0,0,0,56.10644540311122,,,,,,,,
1774272600,4409.945,4451.315,4401.76,4422.6,4366.219667328698,4362.298824356907,54.95524522765033,53061,38253.87694751176,0,0,0,0,0,0,57.243228759985286,,,,,,,,
1774273500,4422.555,4467.04,4419.765,4454.165,4374.214697571544,4365.901419480166,54.40665628281813,50034,39375.793428701116,0,0,0,0,0,0,60.02629175036648,,,,,,,,
1774274400,4454.32,4479.405,4453.635,4464.375,4382.411088701404,4369.76312852016,52.36118083404538,46236,40029.146435491486,0,0,0,0,0,0,60.91254962794138,,,,,,,,
1774275300,4464.365,4513.165,4461.29,4486.71,4391.892807910367,4374.349280342898,52.32645363161357,41081,40129.32296544468,0,0,0,0,0,0,62.852795231054806,,,,,62.852795231054806,62.852795231054806,62.852795231054806,
1774276200,4486.705,4504.675,4470.355,4479.885,4399.892098100334,4378.487936015726,51.04027837221264,42321,40338.054111592806,0,0,0,0,0,0,61.84259273707872,,,,,,,,
1774277100,4479.965,4486.415,4456.99,4462.075,4405.545089182122,4381.76586009354,49.49632991705461,44276,40713.0965771554,0,0,0,0,0,0,59.17000840664378,,,,,,,,
1774278000,4462.08,4487.385,4455.085,4465.075,4410.956899256475,4385.032885187911,48.26802063726501,46478,41262.13499837869,0,0,0,0,0,0,59.487603425770686,,,,,,,,
1774278900,4465,4468.625,4427.515,4447.405,4414.270362960431,4387.47885047466,47.75673344888891,44166,41538.69356996167,0,0,0,0,0,0,56.69052373676112,,,,,,,,
1774279800,4447.34,4456.24,4406.11,4408.02,4413.702148145847,4388.284385750164,47.926252488254,46254,41987.770372822466,0,0,0,0,0,0,50.94108392300194,,,,,,,,
1774280700,4408.005,4414.38,4350.63,4363.87,4409.1719528598605,4387.326958858001,49.05652016766443,50907,42837.22081350604,0,0,0,0,0,0,45.38450819068813,,,,,,,,
1774281600,4363.545,4390.36,4353.14,4383.95,4406.8790480544185,4387.194529098863,48.211054441402645,53036,43808.533116981656,0,0,0,0,0,0,48.15443535189149,,,,,,,,
1774282500,4383.92,4389.62,4352.31,4354.965,4402.15958914038,4385.930625996947,47.43240769558814,42328,43667.529962983404,0,0,0,0,0,0,44.635380614724625,44.635380614724625,,44.635380614724625,,,,,
1774283400,4355.13,4388.045,4353.37,4386.29,4400.716899218528,4385.944719095106,46.521164288760424,33659,42714.33663317546,0,0,0,0,0,0,48.97521695808556,,,,,,,,
1774284300,4386.28,4391.925,4371.685,4375.79,4398.450817471389,4385.5464948168665,44.64393826813466,42142,42659.828382396845,0,0,0,0,0,0,47.62755121406768,,,,,,,,
1774285200,4375.745,4405.965,4370.825,4397.335,4398.3493795194445,4386.008789137773,43.96508553469649,34170,41851.27329835905,0,0,0,0,0,0,50.62957786895256,,,,,,,,
1774286100,4397.35,4413.995,4388.58,4405.325,4398.983526835858,4386.766287602959,42.640079425075314,29069,40633.91393661057,0,0,0,0,0,0,51.734504389297626,,,,,,,,
1774287000,4405.33,4439.245,4404.235,4420.37,4400.927751668962,4388.08408024598,42.09507375185566,30861,39703.16022836194,0,0,0,0,0,0,53.829860485943286,,,,,,,,
1774287900,4420.38,4429.875,4404.735,4426.225,4403.227501517238,4389.579802589275,40.883997055294564,20657,37889.24020661318,0,0,0,0,0,0,54.654892678180474,,,,,,,,
1774288800,4426.32,4429.24,4402.185,4421.35,4404.875001379308,4390.825692683813,39.896211551344905,27693,36918.169710745264,0,0,0,0,0,0,53.79297131398524,,,,,,,,
1774289700,4421.335,4430.835,4409.855,4425.915,4406.787728526643,4392.201743951115,38.545053583391734,28705,36135.96307162667,0,0,0,0,0,0,54.51631564459239,,,,,,,,
1774290600,4425.98,4462.195,4425.69,4461.83,4411.791571387857,4394.932263796169,38.399335470292336,20696,34665.49039813841,0,0,0,0,0,0,59.842578883967114,,,,,59.842578883967114,,59.842578883967114,
1774291500,4461.835,4467.27,4446.135,4449.04,4415.17779217078,4397.054135804162,37.16616865098576,18920,33165.919884029994,0,0,0,0,0,0,57.27053946188359,,,,,,,,
1774292400,4448.88,4450.615,4403.115,4407.06,4414.439811064345,4397.446522635371,37.904299461629634,18683,31786.59418078904,0,0,0,0,0,0,49.71732755546638,,,,,,,,
1774293300,4407.04,4415.26,4392.99,4410.805,4414.10937369486,4397.970384492808,36.78756378579898,24640,31105.966163571036,0,0,0,0,0,0,50.346463719780886,,,,,,,,
1774294200,4410.78,4416.785,4402.4,4416.785,4414.352612449872,4398.708212551914,35.18738065824193,24764,30501.96938608808,0,0,0,0,0,0,51.39230403624569,,,,,,,,
